---- Graph coloring program ----
N: 500 int
D: 1 int
---- Creating fully connected graph ----
Number of nodes: 500, number of edges: 124750
33(C) 97(C) 0
310(C) 186(C) 0
47(C) 405(C) 0
411(C) 382(C) 0
218(C) 193(C) 0
43(C) 201(C) 0
410(C) 38(C) 0
144(C) 127(C) 0
500(C) 282(C) 0
243(C) 112(C) 0
68(C) 149(C) 0
100(C) 230(C) 0
214(C) 434(C) 0
303(C) 179(C) 0
405(C) 37(C) 0
489(C) 246(C) 0
178(C) 430(C) 0
348(C) 207(C) 0
418(C) 472(C) 0
294(C) 186(C) 0
39(C) 109(C) 0
274(C) 52(C) 0
286(C) 342(C) 0
351(C) 439(C) 0
496(C) 369(C) 0
209(C) 318(C) 0
385(C) 368(C) 0
343(C) 215(C) 0
132(C) 101(C) 0
405(C) 313(C) 0
75(C) 369(C) 0
228(C) 230(C) 0
212(C) 61(C) 0
90(C) 407(C) 0
279(C) 124(C) 0
308(C) 8(C) 0
311(C) 474(C) 0
163(C) 312(C) 0
252(C) 216(C) 0
155(C) 167(C) 0
306(C) 126(C) 0
292(C) 349(C) 0
18(C) 313(C) 0
293(C) 359(C) 0
34(C) 146(C) 0
362(C) 256(C) 0
77(C) 248(C) 0
488(C) 255(C) 0
135(C) 88(C) 0
380(C) 323(C) 0
483(C) 361(C) 0
256(C) 118(C) 0
5(C) 425(C) 0
210(C) 249(C) 0
204(C) 193(C) 0
82(C) 387(C) 0
187(C) 74(C) 0
490(C) 207(C) 0
264(C) 16(C) 0
446(C) 121(C) 0
436(C) 314(C) 0
376(C) 249(C) 0
489(C) 383(C) 0
474(C) 349(C) 0
315(C) 435(C) 0
310(C) 300(C) 0
257(C) 408(C) 0
171(C) 192(C) 0
95(C) 450(C) 0
220(C) 436(C) 0
374(C) 154(C) 0
330(C) 255(C) 0
157(C) 412(C) 0
414(C) 430(C) 0
337(C) 456(C) 0
155(C) 66(C) 0
55(C) 464(C) 0
471(C) 71(C) 0
245(C) 425(C) 0
309(C) 23(C) 0
475(C) 23(C) 0
453(C) 405(C) 0
263(C) 352(C) 0
174(C) 256(C) 0
131(C) 353(C) 0
442(C) 238(C) 0
343(C) 495(C) 0
400(C) 145(C) 0
90(C) 282(C) 0
189(C) 423(C) 0
61(C) 484(C) 0
111(C) 484(C) 0
174(C) 89(C) 0
53(C) 432(C) 0
445(C) 48(C) 0
11(C) 116(C) 0
199(C) 228(C) 0
257(C) 413(C) 0
231(C) 73(C) 0
3(C) 355(C) 0
477(C) 158(C) 0
115(C) 89(C) 0
65(C) 407(C) 0
284(C) 143(C) 0
65(C) 469(C) 0
416(C) 73(C) 0
392(C) 495(C) 0
458(C) 282(C) 0
341(C) 75(C) 0
293(C) 245(C) 0
471(C) 151(C) 0
251(C) 497(C) 0
201(C) 71(C) 0
340(C) 348(C) 0
67(C) 404(C) 0
442(C) 339(C) 0
4(C) 307(C) 0
474(C) 285(C) 0
94(C) 355(C) 0
356(C) 52(C) 0
12(C) 165(C) 0
317(C) 154(C) 0
104(C) 346(C) 0
51(C) 177(C) 0
134(C) 156(C) 0
159(C) 66(C) 0
214(C) 301(C) 0
33(C) 133(C) 0
440(C) 493(C) 0
358(C) 193(C) 0
371(C) 370(C) 0
81(C) 12(C) 0
309(C) 81(C) 0
47(C) 446(C) 0
32(C) 58(C) 0
123(C) 81(C) 0
57(C) 111(C) 0
140(C) 358(C) 0
53(C) 393(C) 0
294(C) 313(C) 0
40(C) 156(C) 0
427(C) 455(C) 0
274(C) 403(C) 0
47(C) 476(C) 0
257(C) 149(C) 0
331(C) 179(C) 0
498(C) 436(C) 0
428(C) 402(C) 0
398(C) 80(C) 0
52(C) 126(C) 0
344(C) 89(C) 0
470(C) 399(C) 0
362(C) 419(C) 0
159(C) 86(C) 0
488(C) 71(C) 0
463(C) 139(C) 0
228(C) 387(C) 0
356(C) 30(C) 0
264(C) 189(C) 0
336(C) 122(C) 0
273(C) 495(C) 0
94(C) 216(C) 0
492(C) 405(C) 0
141(C) 215(C) 0
8(C) 191(C) 0
490(C) 89(C) 0
410(C) 235(C) 0
478(C) 97(C) 0
173(C) 25(C) 0
460(C) 412(C) 0
170(C) 145(C) 0
47(C) 152(C) 0
194(C) 330(C) 0
357(C) 44(C) 0
110(C) 435(C) 0
190(C) 41(C) 0
195(C) 145(C) 0
335(C) 72(C) 0
170(C) 306(C) 0
262(C) 89(C) 0
143(C) 451(C) 0
2(C) 452(C) 0
123(C) 5(C) 0
413(C) 230(C) 0
288(C) 122(C) 0
90(C) 103(C) 0
105(C) 277(C) 0
264(C) 161(C) 0
16(C) 350(C) 0
418(C) 373(C) 0
234(C) 28(C) 0
226(C) 23(C) 0
445(C) 184(C) 0
324(C) 264(C) 0
185(C) 69(C) 0
207(C) 390(C) 0
450(C) 117(C) 0
275(C) 173(C) 0
337(C) 135(C) 0
439(C) 177(C) 0
137(C) 482(C) 0
111(C) 439(C) 0
343(C) 446(C) 0
370(C) 295(C) 0
72(C) 6(C) 0
367(C) 247(C) 0
454(C) 75(C) 0
144(C) 492(C) 0
245(C) 423(C) 0
153(C) 436(C) 0
396(C) 51(C) 0
221(C) 118(C) 0
221(C) 103(C) 0
70(C) 427(C) 0
365(C) 50(C) 0
104(C) 213(C) 0
467(C) 329(C) 0
77(C) 431(C) 0
13(C) 480(C) 0
240(C) 415(C) 0
2(C) 211(C) 0
343(C) 385(C) 0
190(C) 497(C) 0
110(C) 427(C) 0
74(C) 425(C) 0
306(C) 68(C) 0
373(C) 152(C) 0
333(C) 95(C) 0
485(C) 149(C) 0
247(C) 334(C) 0
278(C) 334(C) 0
69(C) 194(C) 0
79(C) 191(C) 0
336(C) 420(C) 0
426(C) 368(C) 0
177(C) 124(C) 0
217(C) 480(C) 0
275(C) 250(C) 0
232(C) 225(C) 0
95(C) 139(C) 0
487(C) 38(C) 0
367(C) 178(C) 0
446(C) 412(C) 0
425(C) 443(C) 0
500(C) 435(C) 0
417(C) 43(C) 0
381(C) 329(C) 0
249(C) 28(C) 0
454(C) 52(C) 0
453(C) 313(C) 0
346(C) 87(C) 0
155(C) 204(C) 0
331(C) 359(C) 0
94(C) 16(C) 0
123(C) 130(C) 0
429(C) 20(C) 0
306(C) 477(C) 0
206(C) 167(C) 0
414(C) 439(C) 0
133(C) 420(C) 0
495(C) 10(C) 0
217(C) 201(C) 0
240(C) 183(C) 0
322(C) 108(C) 0
197(C) 430(C) 0
144(C) 165(C) 0
345(C) 157(C) 0
254(C) 304(C) 0
351(C) 124(C) 0
172(C) 179(C) 0
499(C) 202(C) 0
394(C) 216(C) 0
111(C) 195(C) 0
88(C) 211(C) 0
278(C) 380(C) 0
279(C) 368(C) 0
79(C) 354(C) 0
191(C) 50(C) 0
454(C) 416(C) 0
457(C) 251(C) 0
14(C) 148(C) 0
333(C) 282(C) 0
95(C) 68(C) 0
223(C) 177(C) 0
364(C) 360(C) 0
78(C) 55(C) 0
143(C) 150(C) 0
286(C) 317(C) 0
421(C) 199(C) 0
68(C) 20(C) 0
235(C) 141(C) 0
163(C) 404(C) 0
180(C) 307(C) 0
49(C) 314(C) 0
252(C) 432(C) 0
189(C) 360(C) 0
97(C) 323(C) 0
129(C) 216(C) 0
297(C) 343(C) 0
231(C) 318(C) 0
234(C) 79(C) 0
17(C) 256(C) 0
66(C) 82(C) 0
438(C) 48(C) 0
7(C) 349(C) 0
454(C) 409(C) 0
408(C) 379(C) 0
473(C) 354(C) 0
395(C) 153(C) 0
311(C) 323(C) 0
341(C) 52(C) 0
263(C) 379(C) 0
100(C) 231(C) 0
292(C) 142(C) 0
433(C) 361(C) 0
390(C) 193(C) 0
301(C) 189(C) 0
254(C) 80(C) 0
446(C) 282(C) 0
299(C) 103(C) 0
375(C) 224(C) 0
64(C) 412(C) 0
278(C) 307(C) 0
208(C) 279(C) 0
276(C) 436(C) 0
432(C) 358(C) 0
441(C) 353(C) 0
340(C) 90(C) 0
59(C) 366(C) 0
97(C) 116(C) 0
348(C) 35(C) 0
200(C) 8(C) 0
481(C) 86(C) 0
421(C) 307(C) 0
457(C) 38(C) 0
173(C) 30(C) 0
261(C) 46(C) 0
214(C) 293(C) 0
467(C) 119(C) 0
78(C) 109(C) 0
93(C) 24(C) 0
131(C) 347(C) 0
29(C) 440(C) 0
261(C) 135(C) 0
274(C) 207(C) 0
67(C) 291(C) 0
226(C) 495(C) 0
98(C) 230(C) 0
74(C) 497(C) 0
257(C) 384(C) 0
252(C) 433(C) 0
196(C) 287(C) 0
319(C) 72(C) 0
271(C) 361(C) 0
260(C) 315(C) 0
463(C) 24(C) 0
302(C) 116(C) 0
487(C) 164(C) 0
74(C) 97(C) 0
235(C) 221(C) 0
233(C) 165(C) 0
317(C) 19(C) 0
228(C) 116(C) 0
488(C) 249(C) 0
79(C) 433(C) 0
160(C) 381(C) 0
309(C) 495(C) 0
367(C) 165(C) 0
102(C) 282(C) 0
378(C) 138(C) 0
480(C) 426(C) 0
414(C) 62(C) 0
472(C) 268(C) 0
220(C) 16(C) 0
97(C) 175(C) 0
82(C) 152(C) 0
362(C) 8(C) 0
56(C) 477(C) 0
49(C) 69(C) 0
466(C) 332(C) 0
499(C) 352(C) 0
238(C) 122(C) 0
408(C) 26(C) 0
396(C) 78(C) 0
300(C) 214(C) 0
488(C) 272(C) 0
211(C) 121(C) 0
73(C) 192(C) 0
347(C) 326(C) 0
319(C) 312(C) 0
3(C) 28(C) 0
452(C) 24(C) 0
133(C) 116(C) 0
257(C) 183(C) 0
377(C) 199(C) 0
78(C) 34(C) 0
232(C) 426(C) 0
99(C) 230(C) 0
309(C) 42(C) 0
378(C) 118(C) 0
244(C) 402(C) 0
106(C) 443(C) 0
373(C) 430(C) 0
367(C) 254(C) 0
9(C) 325(C) 0
39(C) 157(C) 0
164(C) 251(C) 0
211(C) 91(C) 0
306(C) 402(C) 0
462(C) 106(C) 0
293(C) 204(C) 0
57(C) 195(C) 0
33(C) 268(C) 0
212(C) 70(C) 0
102(C) 52(C) 0
418(C) 491(C) 0
306(C) 109(C) 0
278(C) 30(C) 0
450(C) 158(C) 0
335(C) 329(C) 0
178(C) 33(C) 0
401(C) 149(C) 0
182(C) 10(C) 0
155(C) 439(C) 0
400(C) 307(C) 0
256(C) 403(C) 0
478(C) 451(C) 0
29(C) 289(C) 0
208(C) 446(C) 0
98(C) 263(C) 0
98(C) 171(C) 0
335(C) 440(C) 0
78(C) 136(C) 0
378(C) 43(C) 0
54(C) 133(C) 0
333(C) 195(C) 0
299(C) 317(C) 0
217(C) 165(C) 0
421(C) 118(C) 0
105(C) 482(C) 0
252(C) 112(C) 0
435(C) 227(C) 0
347(C) 132(C) 0
262(C) 183(C) 0
19(C) 85(C) 0
412(C) 80(C) 0
21(C) 318(C) 0
317(C) 85(C) 0
343(C) 433(C) 0
449(C) 399(C) 0
433(C) 407(C) 0
203(C) 254(C) 0
55(C) 193(C) 0
457(C) 141(C) 0
7(C) 482(C) 0
144(C) 50(C) 0
96(C) 148(C) 0
68(C) 180(C) 0
29(C) 194(C) 0
356(C) 87(C) 0
333(C) 154(C) 0
472(C) 350(C) 0
144(C) 57(C) 0
49(C) 489(C) 0
173(C) 391(C) 0
163(C) 368(C) 0
75(C) 115(C) 0
376(C) 177(C) 0
406(C) 322(C) 0
499(C) 218(C) 0
348(C) 33(C) 0
86(C) 413(C) 0
383(C) 314(C) 0
328(C) 262(C) 0
429(C) 287(C) 0
417(C) 332(C) 0
44(C) 282(C) 0
154(C) 358(C) 0
303(C) 141(C) 0
377(C) 211(C) 0
70(C) 296(C) 0
326(C) 468(C) 0
98(C) 55(C) 0
217(C) 70(C) 0
393(C) 196(C) 0
303(C) 425(C) 0
56(C) 432(C) 0
232(C) 477(C) 0
488(C) 150(C) 0
39(C) 228(C) 0
26(C) 280(C) 0
232(C) 466(C) 0
22(C) 73(C) 0
362(C) 289(C) 0
203(C) 219(C) 0
459(C) 16(C) 0
292(C) 372(C) 0
39(C) 107(C) 0
317(C) 458(C) 0
203(C) 302(C) 0
236(C) 325(C) 0
69(C) 413(C) 0
157(C) 469(C) 0
130(C) 277(C) 0
16(C) 497(C) 0
152(C) 119(C) 0
63(C) 25(C) 0
487(C) 497(C) 0
134(C) 192(C) 0
356(C) 464(C) 0
3(C) 316(C) 0
131(C) 206(C) 0
341(C) 215(C) 0
143(C) 446(C) 0
432(C) 62(C) 0
270(C) 420(C) 0
395(C) 19(C) 0
273(C) 220(C) 0
214(C) 209(C) 0
134(C) 475(C) 0
245(C) 353(C) 0
258(C) 12(C) 0
411(C) 401(C) 0
32(C) 336(C) 0
329(C) 387(C) 0
300(C) 35(C) 0
51(C) 125(C) 0
352(C) 50(C) 0
351(C) 443(C) 0
481(C) 360(C) 0
362(C) 451(C) 0
7(C) 402(C) 0
84(C) 58(C) 0
9(C) 233(C) 0
297(C) 346(C) 0
449(C) 298(C) 0
52(C) 248(C) 0
468(C) 248(C) 0
177(C) 186(C) 0
266(C) 150(C) 0
237(C) 412(C) 0
441(C) 402(C) 0
423(C) 133(C) 0
11(C) 122(C) 0
499(C) 407(C) 0
331(C) 189(C) 0
472(C) 16(C) 0
481(C) 303(C) 0
413(C) 124(C) 0
67(C) 121(C) 0
144(C) 351(C) 0
293(C) 112(C) 0
52(C) 239(C) 0
472(C) 177(C) 0
317(C) 257(C) 0
421(C) 387(C) 0
321(C) 452(C) 0
153(C) 425(C) 0
491(C) 383(C) 0
384(C) 54(C) 0
468(C) 108(C) 0
438(C) 32(C) 0
365(C) 143(C) 0
252(C) 239(C) 0
336(C) 149(C) 0
482(C) 216(C) 0
129(C) 430(C) 0
205(C) 20(C) 0
268(C) 383(C) 0
325(C) 436(C) 0
163(C) 247(C) 0
492(C) 209(C) 0
483(C) 238(C) 0
347(C) 189(C) 0
411(C) 336(C) 0
77(C) 366(C) 0
485(C) 314(C) 0
84(C) 316(C) 0
96(C) 349(C) 0
491(C) 483(C) 0
242(C) 106(C) 0
287(C) 127(C) 0
140(C) 253(C) 0
367(C) 64(C) 0
203(C) 432(C) 0
196(C) 33(C) 0
154(C) 20(C) 0
25(C) 290(C) 0
319(C) 316(C) 0
463(C) 3(C) 0
339(C) 249(C) 0
189(C) 401(C) 0
242(C) 370(C) 0
32(C) 39(C) 0
410(C) 425(C) 0
95(C) 372(C) 0
283(C) 430(C) 0
161(C) 368(C) 0
409(C) 399(C) 0
115(C) 180(C) 0
76(C) 305(C) 0
367(C) 375(C) 0
375(C) 267(C) 0
267(C) 334(C) 0
381(C) 167(C) 0
422(C) 436(C) 0
327(C) 145(C) 0
364(C) 88(C) 0
251(C) 44(C) 0
78(C) 70(C) 0
163(C) 34(C) 0
271(C) 109(C) 0
146(C) 330(C) 0
60(C) 479(C) 0
362(C) 480(C) 0
499(C) 287(C) 0
61(C) 15(C) 0
233(C) 227(C) 0
249(C) 313(C) 0
212(C) 56(C) 0
217(C) 247(C) 0
275(C) 104(C) 0
58(C) 350(C) 0
14(C) 174(C) 0
395(C) 24(C) 0
388(C) 431(C) 0
264(C) 390(C) 0
278(C) 433(C) 0
419(C) 327(C) 0
131(C) 359(C) 0
55(C) 209(C) 0
117(C) 162(C) 0
120(C) 116(C) 0
337(C) 57(C) 0
298(C) 372(C) 0
113(C) 455(C) 0
240(C) 450(C) 0
488(C) 439(C) 0
336(C) 209(C) 0
362(C) 410(C) 0
60(C) 414(C) 0
72(C) 389(C) 0
140(C) 431(C) 0
172(C) 329(C) 0
27(C) 180(C) 0
36(C) 220(C) 0
306(C) 179(C) 0
262(C) 12(C) 0
500(C) 143(C) 0
297(C) 241(C) 0
65(C) 246(C) 0
221(C) 500(C) 0
423(C) 112(C) 0
92(C) 288(C) 0
5(C) 305(C) 0
376(C) 235(C) 0
17(C) 239(C) 0
138(C) 221(C) 0
293(C) 473(C) 0
220(C) 334(C) 0
170(C) 200(C) 0
76(C) 448(C) 0
337(C) 284(C) 0
475(C) 114(C) 0
301(C) 43(C) 0
426(C) 358(C) 0
443(C) 497(C) 0
187(C) 234(C) 0
329(C) 152(C) 0
315(C) 80(C) 0
133(C) 136(C) 0
425(C) 118(C) 0
292(C) 240(C) 0
378(C) 321(C) 0
422(C) 435(C) 0
400(C) 68(C) 0
32(C) 30(C) 0
138(C) 181(C) 0
206(C) 21(C) 0
151(C) 145(C) 0
252(C) 256(C) 0
326(C) 112(C) 0
479(C) 80(C) 0
344(C) 118(C) 0
187(C) 301(C) 0
424(C) 191(C) 0
300(C) 24(C) 0
337(C) 95(C) 0
208(C) 381(C) 0
418(C) 242(C) 0
54(C) 85(C) 0
177(C) 379(C) 0
437(C) 297(C) 0
159(C) 388(C) 0
252(C) 145(C) 0
326(C) 368(C) 0
299(C) 185(C) 0
395(C) 196(C) 0
438(C) 164(C) 0
199(C) 73(C) 0
343(C) 226(C) 0
170(C) 243(C) 0
7(C) 2(C) 0
491(C) 242(C) 0
481(C) 499(C) 0
105(C) 447(C) 0
460(C) 168(C) 0
461(C) 133(C) 0
260(C) 390(C) 0
418(C) 304(C) 0
11(C) 82(C) 0
13(C) 458(C) 0
421(C) 374(C) 0
365(C) 470(C) 0
339(C) 500(C) 0
96(C) 270(C) 0
61(C) 70(C) 0
189(C) 115(C) 0
308(C) 322(C) 0
207(C) 435(C) 0
438(C) 171(C) 0
79(C) 469(C) 0
252(C) 111(C) 0
260(C) 298(C) 0
481(C) 500(C) 0
461(C) 87(C) 0
270(C) 313(C) 0
326(C) 108(C) 0
361(C) 197(C) 0
217(C) 447(C) 0
65(C) 387(C) 0
258(C) 101(C) 0
266(C) 497(C) 0
232(C) 245(C) 0
380(C) 397(C) 0
171(C) 24(C) 0
221(C) 115(C) 0
62(C) 31(C) 0
131(C) 193(C) 0
491(C) 360(C) 0
374(C) 391(C) 0
438(C) 121(C) 0
223(C) 242(C) 0
346(C) 351(C) 0
355(C) 443(C) 0
342(C) 21(C) 0
431(C) 216(C) 0
366(C) 420(C) 0
337(C) 452(C) 0
64(C) 371(C) 0
426(C) 322(C) 0
242(C) 153(C) 0
61(C) 298(C) 0
223(C) 332(C) 0
242(C) 439(C) 0
250(C) 500(C) 0
480(C) 6(C) 0
397(C) 242(C) 0
9(C) 472(C) 0
159(C) 316(C) 0
262(C) 434(C) 0
163(C) 154(C) 0
125(C) 92(C) 0
381(C) 227(C) 0
90(C) 277(C) 0
271(C) 181(C) 0
189(C) 106(C) 0
40(C) 130(C) 0
80(C) 158(C) 0
460(C) 405(C) 0
237(C) 87(C) 0
158(C) 136(C) 0
383(C) 145(C) 0
56(C) 442(C) 0
250(C) 479(C) 0
155(C) 391(C) 0
479(C) 302(C) 0
209(C) 151(C) 0
397(C) 361(C) 0
452(C) 402(C) 0
231(C) 111(C) 0
64(C) 426(C) 0
259(C) 360(C) 0
331(C) 163(C) 0
474(C) 147(C) 0
286(C) 436(C) 0
203(C) 450(C) 0
267(C) 307(C) 0
96(C) 256(C) 0
108(C) 85(C) 0
115(C) 101(C) 0
384(C) 338(C) 0
175(C) 358(C) 0
223(C) 6(C) 0
80(C) 115(C) 0
329(C) 207(C) 0
120(C) 368(C) 0
94(C) 193(C) 0
396(C) 186(C) 0
271(C) 142(C) 0
200(C) 326(C) 0
381(C) 383(C) 0
212(C) 189(C) 0
467(C) 180(C) 0
95(C) 161(C) 0
256(C) 316(C) 0
487(C) 21(C) 0
297(C) 449(C) 0
236(C) 81(C) 0
97(C) 136(C) 0
375(C) 164(C) 0
300(C) 58(C) 0
148(C) 25(C) 0
450(C) 24(C) 0
9(C) 24(C) 0
51(C) 294(C) 0
339(C) 350(C) 0
95(C) 496(C) 0
156(C) 447(C) 0
438(C) 429(C) 0
166(C) 412(C) 0
205(C) 165(C) 0
105(C) 312(C) 0
188(C) 409(C) 0
400(C) 117(C) 0
375(C) 301(C) 0
236(C) 66(C) 0
49(C) 188(C) 0
478(C) 346(C) 0
262(C) 464(C) 0
267(C) 119(C) 0
146(C) 433(C) 0
446(C) 239(C) 0
